DirectorID,EXECID,execCIK
38246,22920,0001072523
210086,28032,NA
36153,23549,NA
70757,00204,NA
497415,49828,NA
323317,21520,NA
202229,18387,NA
202314,13073,NA
834715,47834,NA
202318,02374,NA
202319,14078,NA
202313,13072,NA
86587,18355,NA
486024,29332,NA
37736,21484,NA
332204,21488,NA
454835,35802,NA
183138,19061,NA
183133,19060,NA
1324486,45696,NA
183122,14822,NA
1088494,40806,NA
34204,01368,NA
55142,20818,NA
54277,10416,NA
55192,24439,NA
270963,35236,NA
344781,43147,NA
1291267,47674,NA
596784,43143,NA
38311,15654,NA
322437,06349,NA
1113201,45617,NA
140714,02011,NA
328796,28413,NA
